Customer_ID,Signup_Date,Age,Gender,Annual_Income,Spending_Score,Membership_Type,Preferred_Category,Total_Purchases,Total_Spent,Last_Active_Days,Satisfaction_Score,Churn
CUST1021,2024-12-09,55.0,Female,56535,49,Silver,Electronics,5,341.92,57,2.0,0
CUST1022,2025-05-06,44.0,Male,45897,25,Silver,Home & Kitchen,4,216.25,76,4.0,0
CUST1023,2025-02-17,56.0,Male,106344,10,Bronze,Home & Kitchen,4,468.12,18,4.0,0
CUST1024,2025-01-20,30.0,Female,82937,80,Premium,Clothing,21,1697.05,61,3.0,0
CUST1025,2024-07-10,38.0,Male,42238,16,Silver,Clothing,6,339.45,70,3.0,1
CUST1026,2024-10-03,44.0,Male,37343,58,Gold,Sports & Outdoors,7,340.69,137,5.0,0
CUST1027,2024-06-09,18.0,Male,93685,72,Gold,Electronics,17,1538.54,24,3.0,0
CUST1028,2025-04-04,53.0,Male,104679,29,Gold,Beauty,9,943.66,171,4.0,0
CUST1029,2024-11-09,18.0,Female,22402,92,Gold,Sports & Outdoors,7,252.3,126,3.0,1
CUST1030,2024-01-22,46.0,Female,55925,6,Bronze,Clothing,7,419.61,57,4.0,1
CUST1031,2024-09-09,43.0,Male,48722,16,Bronze,Home & Kitchen,6,346.46,152,4.0,1
CUST1032,2025-07-14,18.0,Male,69862,20,Bronze,Sports & Outdoors,6,474.21,119,4.0,1
CUST1033,2025-04-19,18.0,Male,117208,80,Premium,Electronics,10,1152.3,110,5.0,0
CUST1034,2024-02-28,52.0,Male,44400,71,Silver,Clothing,15,748.56,167,,1
CUST1035,2025-05-25,49.0,Male,23632,78,Silver,Clothing,14,452.42,75,4.0,0
CUST1036,2025-11-12,24.0,Male,67930,43,Silver,Clothing,8,569.37,69,2.0,1
CUST1037,2025-04-20,24.0,Male,93960,26,Gold,Beauty,7,692.04,137,3.0,1
CUST1038,2025-11-30,41.0,Female,47721,90,Gold,Beauty,13,662.98,65,4.0,0
CUST1039,2024-07-08,34.0,Male,40644,78,Gold,Beauty,9,457.48,119,4.0,0
CUST1040,2025-11-17,47.0,Female,45239,71,Silver,Electronics,12,538.64,152,,1
CUST1041,2025-07-16,40.0,Female,75714,33,Gold,Electronics,6,486.41,86,1.0,1
CUST1042,2025-07-20,53.0,Female,44929,26,Silver,Home & Kitchen,8,449.6,138,4.0,1
CUST1043,2024-08-31,46.0,Female,61460,45,Silver,Electronics,6,458.13,121,3.0,1
CUST1044,2025-05-19,43.0,Female,54489,84,Silver,Home & Kitchen,12,780.41,163,3.0,1
CUST1045,2024-05-10,30.0,Female,52286,63,Silver,Clothing,9,509.09,48,4.0,1
CUST1046,2025-04-29,29.0,Female,71336,67,Gold,Home & Kitchen,12,801.29,47,4.0,0
CUST1047,2025-10-08,34.0,Female,44498,52,Silver,Home & Kitchen,9,491.87,114,1.0,0
CUST1048,2024-01-21,57.0,Female,45360,68,Silver,Clothing,11,562.8,86,2.0,1
CUST1049,2024-06-15,30.0,Female,74137,26,Bronze,Electronics,5,392.26,6,,0
CUST1050,2024-09-30,38.0,Male,36310,75,Silver,Clothing,14,583.2,76,3.0,1
CUST1051,2025-01-22,18.0,Male,450000,2,Gold,Clothing,3,600.0,178,4.0,1
CUST1052,2025-08-23,43.0,Male,32549,14,Bronze,Home & Kitchen,3,100.87,144,4.0,0
CUST1053,2024-11-11,62.0,Female,75678,30,Silver,Beauty,6,437.0,159,2.0,1
CUST1054,2024-01-14,23.0,Female,51665,49,Gold,Beauty,11,573.3,153,1.0,1
CUST1055,2024-08-29,73.0,Female,31862,12,Bronze,Sports & Outdoors,5,229.58,120,2.0,1
CUST1056,2024-12-11,37.0,Female,75823,90,Premium,Clothing,11,814.54,123,5.0,1
CUST1057,2025-07-18,18.0,Female,43149,44,Gold,Electronics,11,636.32,149,3.0,0
CUST1058,2024-12-05,30.0,Male,38023,33,Bronze,Clothing,3,127.8,140,5.0,1
CUST1059,2024-04-01,50.0,Female,49829,13,Bronze,Home & Kitchen,3,201.01,124,4.0,1
CUST1060,2025-01-01,58.0,Female,97355,78,Premium,Clothing,13,1123.0,11,4.0,0
CUST1061,2025-03-30,43.0,Prefer not to say,46011,88,Gold,Beauty,8,443.71,70,4.0,0
CUST1062,2025-03-03,53.0,Male,67831,98,Premium,Clothing,6,430.31,0,2.0,0
CUST1063,2025-05-23,20.0,Female,72075,26,Silver,Sports & Outdoors,8,552.04,160,4.0,0
CUST1064,2024-02-04,26.0,Female,64340,21,Bronze,Sports & Outdoors,2,131.72,118,3.0,0
CUST1065,2024-07-24,18.0,Female,89596,28,Silver,Electronics,11,971.93,141,4.0,0
CUST1066,2024-03-21,27.0,Female,40610,48,Gold,Clothing,5,250.45,110,1.0,1
CUST1067,2025-07-15,44.0,Female,35500,100,Gold,Home & Kitchen,12,478.81,63,4.0,0
CUST1068,2025-01-22,37.0,Male,35222,40,Bronze,Clothing,4,185.91,42,1.0,0
CUST1069,2024-01-02,45.0,Female,50861,66,Silver,Clothing,8,463.86,40,5.0,0
CUST1070,2025-01-24,23.0,Female,36894,73,Silver,Home & Kitchen,12,595.69,114,3.0,0
CUST1071,2025-07-19,24.0,Female,57162,87,Silver,Electronics,12,699.88,38,4.0,0
CUST1072,2024-04-15,37.0,Female,55572,79,Gold,Home & Kitchen,12,711.16,0,3.0,0
CUST1073,2025-04-21,27.0,Male,80989,77,Silver,Home & Kitchen,16,1435.22,40,3.0,0
CUST1074,2025-12-03,50.0,Male,60542,23,Bronze,Electronics,8,487.37,172,,1
CUST1075,2025-02-05,27.0,Prefer not to say,45623,81,Gold,Clothing,10,460.57,87,5.0,0
CUST1076,2025-12-30,29.0,Female,63511,48,Gold,Clothing,6,9500.0,97,1.0,1
CUST1077,2025-07-09,40.0,Female,35687,2,Bronze,Home & Kitchen,1,35.86,87,5.0,0
CUST1078,2024-06-10,30.0,Male,53070,84,Silver,Electronics,14,946.25,78,4.0,0
CUST1079,2024-07-20,20.0,Female,61230,20,Silver,Beauty,7,452.28,140,4.0,1
CUST1080,2024-09-26,,Female,56747,59,Gold,Clothing,8,487.39,70,3.0,1
CUST1081,2024-09-27,41.0,Non-Binary,63618,46,Gold,Electronics,12,860.73,136,3.0,1
CUST1082,2025-03-31,18.0,Male,41648,3,Silver,Clothing,3,138.24,98,5.0,0
CUST1083,2025-04-06,51.0,Female,85429,55,Gold,Clothing,12,1021.33,150,3.0,1
CUST1084,2025-12-27,26.0,Female,111692,12,Bronze,Clothing,3,312.95,174,4.0,1
CUST1085,2024-09-08,,Male,28383,40,Bronze,Home & Kitchen,4,119.51,166,1.0,1
CUST1086,2025-12-02,27.0,Female,33136,66,Silver,Clothing,7,300.07,86,2.0,1
CUST1087,2024-10-22,24.0,Female,54823,100,Premium,Electronics,7,460.7,153,4.0,1
CUST1088,2025-12-25,37.0,Female,48631,78,Gold,Electronics,9,503.3,0,4.0,0
CUST1089,2025-12-20,47.0,Female,115059,16,Silver,Home & Kitchen,9,1039.33,141,4.0,1
CUST1090,2024-12-03,32.0,Male,58838,83,Silver,Home & Kitchen,11,644.08,111,2.0,0
CUST1091,2024-02-22,34.0,Male,94057,34,Silver,Clothing,5,448.05,73,3.0,0
CUST1092,2024-08-04,44.0,Male,23741,44,Bronze,Beauty,10,283.13,64,3.0,1
CUST1093,2024-07-06,45.0,Male,74630,6,Bronze,Clothing,3,237.07,68,3.0,0
CUST1094,2025-01-14,,Female,40474,77,Silver,Beauty,14,659.96,66,5.0,0
CUST1095,2025-05-07,29.0,Male,40216,64,Gold,Clothing,13,607.59,176,4.0,0
CUST1096,2024-02-10,35.0,Non-Binary,48790,100,Gold,Electronics,14,826.05,49,1.0,1
CUST1097,2024-06-05,32.0,Non-Binary,30479,22,Bronze,Sports & Outdoors,8,304.27,57,5.0,0
CUST1098,2024-01-15,38.0,Female,64328,18,Silver,Clothing,2,148.01,52,3.0,0
CUST1099,2024-03-05,20.0,Female,58158,12,Bronze,Beauty,1,64.64,90,4.0,1
CUST1100,2025-06-04,38.0,Female,59941,52,Silver,Clothing,11,694.32,114,2.0,1
CUST1101,2024-12-09,26.0,Female,76837,94,Premium,Home & Kitchen,13,926.55,117,4.0,0
CUST1102,2024-05-08,45.0,Male,98770,51,Silver,Beauty,8,805.0,56,2.0,0
CUST1103,2025-10-09,26.0,Male,46590,71,Silver,Electronics,16,883.83,85,3.0,0
CUST1104,2025-04-16,27.0,Female,65223,96,Premium,Beauty,16,1136.13,17,1.0,0
CUST1105,2024-03-03,40.0,Female,60586,48,Silver,Home & Kitchen,9,605.73,15,2.0,1
CUST1106,2024-05-18,35.0,Female,62672,19,Silver,Home & Kitchen,5,322.91,129,1.0,1
CUST1107,2025-05-13,62.0,Female,63049,6,Bronze,Clothing,4,267.14,12,2.0,1
CUST1108,2025-08-15,18.0,Female,101807,84,Premium,Beauty,8,780.37,172,2.0,1
CUST1109,2025-01-26,36.0,Male,44836,27,Silver,Electronics,2,117.23,79,4.0,1
CUST1110,2025-11-05,48.0,Prefer not to say,29270,53,Silver,Clothing,7,266.11,42,1.0,0
CUST1111,2025-02-22,28.0,Female,40761,48,Gold,Beauty,7,321.1,53,4.0,0
CUST1112,2024-10-15,24.0,Male,72951,7,Bronze,Beauty,2,164.77,158,2.0,1
CUST1113,2025-01-13,24.0,Female,54391,59,Silver,Electronics,15,995.64,136,5.0,1
CUST1114,2025-05-04,18.0,Male,44694,69,Silver,Clothing,7,373.99,72,5.0,0
CUST1115,2024-08-18,51.0,Female,35032,11,Silver,Clothing,2,87.09,47,2.0,0
CUST1116,2024-02-10,31.0,Female,58873,15,Silver,Clothing,3,186.49,17,4.0,1
CUST1117,2024-01-28,29.0,Male,69733,64,Silver,Clothing,8,583.13,10,1.0,1
CUST1118,2024-05-14,18.0,Non-Binary,60899,3,Bronze,Home & Kitchen,1,61.38,83,5.0,1
CUST1119,2024-07-19,18.0,Female,48693,69,Gold,Electronics,10,579.94,18,4.0,0
CUST1120,2024-02-02,52.0,Male,57142,23,Bronze,Beauty,2,141.76,99,1.0,1
CUST1121,2024-02-17,115.0,Male,57009,53,Gold,Beauty,6,391.92,115,3.0,1
CUST1122,2025-05-17,48.0,Female,58134,37,Silver,Clothing,6,347.57,89,1.0,1
CUST1123,2025-02-10,47.0,Male,33554,9,Bronze,Clothing,2,90.47,73,3.0,0
CUST1124,2025-07-27,22.0,Male,58312,15,Silver,Clothing,2,129.13,23,4.0,0
CUST1125,2025-12-28,64.0,Male,45179,3,Bronze,Clothing,2,109.76,12,3.0,1
CUST1126,2024-04-08,58.0,Male,81706,93,Premium,Home & Kitchen,19,1500.82,124,3.0,0
CUST1127,2025-11-14,28.0,Female,56829,70,Gold,Clothing,9,561.37,115,2.0,1
CUST1128,2025-12-26,18.0,Female,75269,17,Bronze,Home & Kitchen,3,246.42,173,2.0,1
CUST1129,2025-06-30,30.0,Male,47759,26,Bronze,Clothing,5,247.25,180,2.0,1
CUST1130,2025-09-04,,Female,48453,21,Silver,Clothing,1,53.13,156,4.0,1
CUST1131,2025-04-06,28.0,Male,97962,72,Premium,Electronics,12,1142.35,163,2.0,1
CUST1132,2025-10-04,32.0,Non-Binary,64162,21,Bronze,Electronics,1,73.46,70,4.0,0
CUST1133,2024-01-05,25.0,Non-Binary,40490,11,Silver,Electronics,6,326.87,125,3.0,1
CUST1134,2024-08-05,46.0,Male,77144,38,Silver,Clothing,9,627.4,144,2.0,1
CUST1135,2025-05-17,35.0,Female,43534,72,Silver,Beauty,11,618.92,175,4.0,1
CUST1136,2025-02-01,46.0,Female,58977,88,Premium,Beauty,8,560.34,151,3.0,1
CUST1137,2025-01-27,49.0,Male,112342,35,Silver,Clothing,12,1370.3,118,3.0,0
CUST1138,2024-07-25,18.0,Male,30397,14,Silver,Electronics,1,37.68,90,4.0,0
CUST1139,2024-01-15,25.0,Male,50227,14,Bronze,Electronics,4,222.83,84,3.0,0
CUST1140,2025-07-07,27.0,Female,63446,10,Bronze,Clothing,4,240.14,107,3.0,1
CUST1141,2025-04-05,65.0,Non-Binary,73168,12,Bronze,Clothing,2,131.0,126,4.0,0
CUST1142,2025-11-21,36.0,Female,32798,38,Bronze,Clothing,7,283.67,120,4.0,1
CUST1143,2025-07-28,44.0,Female,29153,34,Bronze,Electronics,2,79.35,128,1.0,1
CUST1144,2024-08-28,18.0,Female,83361,41,Silver,Electronics,8,682.81,5,3.0,0
CUST1145,2025-07-17,36.0,Female,40395,10,Bronze,Electronics,8,422.15,77,1.0,1
CUST1146,2024-04-05,46.0,Female,39724,17,Bronze,Electronics,1,63.41,37,2.0,1
CUST1147,2025-04-29,45.0,Male,100181,17,Bronze,Home & Kitchen,6,579.03,160,4.0,1
CUST1148,2025-02-10,42.0,Female,55410,67,Gold,Electronics,10,558.97,115,5.0,0
CUST1149,2024-08-18,35.0,Female,55555,62,Silver,Clothing,10,640.27,101,5.0,0
CUST1150,2025-10-16,,Male,50147,95,Premium,Home & Kitchen,18,1042.21,7,1.0,1
CUST1151,2024-06-19,18.0,Female,33025,1,Bronze,Beauty,3,118.94,77,3.0,0
CUST1152,2025-06-24,24.0,Male,70609,12,Bronze,Beauty,5,391.98,111,4.0,0
CUST1153,2024-02-05,37.0,Female,63476,4,Bronze,Home & Kitchen,2,127.67,147,2.0,1
CUST1154,2025-06-08,26.0,Female,57648,42,Silver,Electronics,9,561.57,54,4.0,0
CUST1155,2024-06-08,43.0,Male,51436,13,Bronze,Home & Kitchen,1,57.51,47,4.0,0
CUST1156,2025-11-29,40.0,Male,47940,98,Premium,Beauty,14,702.96,87,5.0,0
CUST1157,2024-08-30,51.0,Male,77624,85,Premium,Electronics,18,1280.49,9,1.0,1
CUST1158,2024-03-26,46.0,Female,50925,86,Silver,Clothing,9,526.79,51,2.0,0
CUST1159,2025-07-31,37.0,Male,52523,4,Bronze,Beauty,4,262.45,177,4.0,1
CUST1160,2025-11-12,43.0,Female,66609,82,Silver,Clothing,15,1129.68,33,4.0,0
CUST1161,2025-07-10,47.0,Male,58560,69,Silver,Electronics,13,896.21,163,5.0,0
CUST1162,2025-07-27,28.0,Prefer not to say,103938,19,Silver,Electronics,3,292.86,60,1.0,0
CUST1163,2025-10-07,31.0,Non-Binary,26637,2,Bronze,Clothing,2,76.54,143,4.0,1
CUST1164,2024-01-28,33.0,Female,60754,12,Bronze,Electronics,4,234.03,78,,0
CUST1165,2025-09-11,29.0,Female,40635,81,Silver,Home & Kitchen,15,745.61,17,1.0,0
CUST1166,2025-07-09,47.0,Female,36967,74,Silver,Home & Kitchen,12,633.0,70,4.0,0
CUST1167,2024-12-05,27.0,Female,44882,98,Gold,Electronics,15,892.51,174,4.0,0
CUST1168,2024-11-26,50.0,Male,55078,6,Bronze,Beauty,3,213.15,85,2.0,1
CUST1169,2025-10-01,30.0,Male,56065,8,Bronze,Clothing,7,466.67,31,3.0,0
CUST1170,2025-05-20,40.0,Male,29369,51,Silver,Electronics,11,460.38,42,4.0,0
CUST1171,2024-12-13,36.0,Male,43399,11,Bronze,Beauty,1,55.54,82,3.0,1
CUST1172,2025-04-17,23.0,Male,60302,63,Silver,Beauty,8,549.24,167,5.0,0
CUST1173,2024-08-18,34.0,Female,37944,57,Silver,Home & Kitchen,5,212.92,162,3.0,1
CUST1174,2024-07-08,39.0,Prefer not to say,34500,12,Bronze,Beauty,1,36.17,68,3.0,1
CUST1175,2024-08-12,34.0,Male,21855,73,Silver,Home & Kitchen,17,639.65,49,5.0,0
CUST1176,2025-01-19,18.0,Female,41330,2,Bronze,Beauty,5,299.54,11,5.0,0
CUST1177,2025-01-11,55.0,Male,34022,8,Bronze,Clothing,2,95.94,84,1.0,1
CUST1178,2024-10-09,36.0,Female,36354,11,Bronze,Home & Kitchen,7,250.96,122,,1
CUST1179,2025-09-24,25.0,Female,48335,53,Silver,Sports & Outdoors,9,474.14,57,2.0,0
CUST1180,2025-09-19,54.0,Female,42391,100,Gold,Home & Kitchen,12,592.11,82,1.0,1
CUST1181,2024-09-15,,Non-Binary,33797,10,Silver,Electronics,4,135.54,176,3.0,1
CUST1182,2024-12-24,20.0,Male,23116,85,Silver,Clothing,12,328.55,111,3.0,0
CUST1183,2025-12-10,22.0,Female,60813,84,Silver,Home & Kitchen,13,851.4,127,,1
CUST1184,2025-03-31,32.0,Female,72821,8,Silver,Electronics,3,230.98,35,4.0,0
CUST1185,2025-02-14,38.0,Male,45979,36,Silver,Sports & Outdoors,6,290.31,53,5.0,0
CUST1186,2025-10-10,42.0,Non-Binary,48452,93,Premium,Electronics,15,723.93,46,4.0,0
CUST1187,2024-11-13,46.0,Male,53947,76,Silver,Electronics,12,791.07,114,3.0,1
CUST1188,2025-11-07,41.0,Female,101331,14,Bronze,Sports & Outdoors,6,585.18,159,4.0,1
CUST1189,2024-08-12,51.0,Male,28783,54,Silver,Clothing,7,264.52,123,5.0,0
CUST1190,2024-08-21,36.0,Male,45653,85,Silver,Electronics,10,503.11,180,4.0,1
CUST1191,2025-11-14,25.0,Female,27061,86,Silver,Home & Kitchen,13,438.03,159,4.0,1
CUST1192,2025-10-25,34.0,Female,62290,21,Bronze,Home & Kitchen,4,293.69,164,5.0,1
CUST1193,2025-01-08,34.0,Male,50871,50,Gold,Electronics,7,370.95,95,2.0,1
CUST1194,2025-11-02,18.0,Male,58444,94,Premium,Sports & Outdoors,12,775.22,106,4.0,0
CUST1195,2025-08-30,28.0,Female,57290,39,Silver,Clothing,5,313.93,119,5.0,0
CUST1196,2025-04-16,38.0,Male,80091,20,Bronze,Home & Kitchen,5,360.01,100,,1
CUST1197,2024-08-20,,Male,66829,88,Premium,Clothing,19,1366.02,102,2.0,0
CUST1198,2025-11-22,27.0,Female,75120,87,Premium,Home & Kitchen,11,768.68,165,4.0,1
CUST1199,2024-04-22,45.0,Female,35186,7,Bronze,Clothing,1,47.5,157,4.0,0
CUST1200,2025-05-11,24.0,Male,86847,9,Bronze,Clothing,6,488.64,31,2.0,1
CUST1201,2025-03-17,43.0,Female,40364,1,Bronze,Clothing,1,51.25,65,4.0,1
CUST1202,2025-07-17,19.0,Female,41303,26,Bronze,Beauty,8,378.17,178,3.0,1
CUST1203,2024-09-24,68.0,Female,60052,38,Silver,Electronics,10,616.72,10,3.0,0
CUST1204,2025-05-24,32.0,Female,60803,38,Gold,Home & Kitchen,12,800.66,147,,1
CUST1205,2025-01-20,31.0,Male,35097,61,Gold,Beauty,13,479.55,36,4.0,0
CUST1206,2025-01-21,48.0,Male,50278,44,Silver,Electronics,9,508.97,101,3.0,0
CUST1207,2024-04-22,29.0,Male,97727,86,Premium,Electronics,9,903.15,48,3.0,0
CUST1208,2025-09-04,52.0,Female,29950,44,Bronze,Clothing,2,90.34,18,3.0,0
CUST1209,2025-09-16,39.0,Male,97609,74,Premium,Home & Kitchen,11,1034.3,167,2.0,0
CUST1210,2024-03-21,33.0,Female,48920,62,Gold,Electronics,10,541.83,6,1.0,1
CUST1211,2025-11-29,32.0,Male,21153,6,Silver,Clothing,3,75.5,132,2.0,1
CUST1212,2024-04-22,,Male,31192,17,Silver,Home & Kitchen,2,74.48,41,4.0,0
CUST1213,2024-01-02,37.0,Female,36652,51,Silver,Home & Kitchen,3,113.23,87,4.0,0
CUST1214,2025-10-03,40.0,Male,41985,38,Bronze,Clothing,6,313.13,175,2.0,1
CUST1215,2024-08-07,41.0,Male,51676,24,Bronze,Clothing,11,685.02,134,2.0,1
CUST1216,2025-07-19,36.0,Female,18274,51,Silver,Beauty,6,167.74,10,4.0,0
CUST1217,2024-08-12,41.0,Male,58067,10,Bronze,Sports & Outdoors,6,348.59,176,3.0,1
CUST1218,2025-01-19,33.0,Female,35334,72,Silver,Beauty,13,597.82,157,5.0,1
CUST1219,2025-02-06,34.0,Female,93981,21,Silver,Home & Kitchen,5,444.89,40,4.0,0
CUST1220,2025-09-29,21.0,Male,48366,70,Silver,Clothing,10,586.65,2,3.0,0
CUST1221,2024-05-09,,Female,78572,85,Premium,Clothing,12,1081.85,39,3.0,0
CUST1222,2024-02-22,18.0,Female,84017,57,Gold,Electronics,7,564.14,50,4.0,0
CUST1223,2025-11-14,38.0,Male,83112,39,Silver,Electronics,10,805.52,31,1.0,1
CUST1224,2025-12-30,31.0,Male,42962,88,Silver,Home & Kitchen,16,696.06,47,,1
CUST1225,2025-11-02,39.0,Male,42742,33,Silver,Clothing,4,205.4,70,2.0,0
CUST1226,2025-12-10,22.0,Female,49249,59,Gold,Clothing,6,338.59,147,4.0,1
CUST1227,2025-02-19,18.0,Male,69503,18,Silver,Sports & Outdoors,3,214.7,88,4.0,0
CUST1228,2024-09-03,30.0,Female,43930,56,Silver,Electronics,8,413.51,108,1.0,0
CUST1229,2025-03-14,22.0,Female,51376,92,Gold,Electronics,8,420.76,34,4.0,0
CUST1230,2024-07-21,18.0,Female,60118,57,Gold,Electronics,7,397.48,107,3.0,1
CUST1231,2024-07-02,44.0,Male,37522,96,Premium,Home & Kitchen,14,594.62,151,4.0,1
CUST1232,2024-05-02,54.0,Male,36585,76,Silver,Home & Kitchen,11,395.01,39,2.0,0
CUST1233,2025-02-04,25.0,Female,50581,48,Gold,Clothing,6,316.37,51,4.0,0
CUST1234,2024-10-20,34.0,Male,53333,42,Silver,Clothing,5,304.96,111,5.0,0
CUST1235,2024-10-06,31.0,Male,64099,27,Bronze,Beauty,4,274.86,38,1.0,1
CUST1236,2025-09-01,27.0,Male,70501,74,Silver,Beauty,12,778.58,67,3.0,0
CUST1237,2024-07-16,,Male,34718,52,Silver,Sports & Outdoors,9,442.61,75,2.0,1
CUST1238,2025-05-25,47.0,Female,38941,42,Bronze,Beauty,4,185.91,64,2.0,0
CUST1239,2024-05-23,24.0,Male,36546,32,Bronze,Home & Kitchen,5,194.79,61,3.0,0
CUST1240,2025-08-31,35.0,Male,94808,26,Gold,Electronics,2,184.37,1,4.0,0
CUST1241,2024-07-19,125.0,Male,51355,25,Silver,Electronics,5,274.4,133,,1
CUST1242,2024-05-03,43.0,Female,54235,75,Silver,Electronics,10,558.57,121,2.0,1
CUST1243,2024-07-05,45.0,Female,55146,23,Bronze,Home & Kitchen,4,260.07,74,4.0,1
CUST1244,2024-11-21,51.0,Male,40472,98,Gold,Beauty,18,777.51,170,4.0,1
CUST1245,2025-04-08,51.0,Female,100744,57,Silver,Clothing,10,998.77,39,4.0,0
CUST1246,2024-12-14,47.0,Female,63516,52,Gold,Electronics,9,551.01,88,3.0,0
CUST1247,2025-10-21,36.0,Female,54746,87,Gold,Clothing,6,362.62,166,2.0,1
CUST1248,2025-02-06,30.0,Female,34632,93,Gold,Sports & Outdoors,12,542.25,27,3.0,1
CUST1249,2024-12-11,36.0,Male,33855,31,Bronze,Home & Kitchen,6,267.3,79,3.0,1
CUST1250,2025-05-25,28.0,Male,47623,64,Silver,Beauty,16,881.44,62,4.0,1
CUST1251,2024-05-26,18.0,Male,40726,71,Silver,Beauty,9,429.69,139,4.0,1
CUST1252,2024-05-27,31.0,Male,35159,33,Bronze,Sports & Outdoors,3,116.94,40,2.0,1
CUST1253,2025-12-11,39.0,Prefer not to say,46455,85,Gold,Beauty,17,823.65,28,1.0,0
CUST1254,2025-05-03,27.0,Male,49417,2,Silver,Home & Kitchen,1,57.67,22,5.0,0
CUST1255,2025-10-01,32.0,Male,57031,18,Bronze,Electronics,2,112.44,79,4.0,1
CUST1256,2025-07-04,33.0,Female,44049,47,Gold,Electronics,7,309.78,50,5.0,0
CUST1257,2024-12-03,51.0,Female,36011,33,Bronze,Clothing,5,260.79,111,1.0,1
CUST1258,2025-10-02,30.0,Male,36514,98,Gold,Electronics,15,661.95,104,4.0,0
CUST1259,2025-04-17,51.0,Male,87538,84,Premium,Sports & Outdoors,11,1002.36,44,4.0,0
CUST1260,2024-05-30,18.0,Male,32660,35,Bronze,Clothing,4,186.34,89,5.0,1
CUST1261,2025-02-18,51.0,Female,62312,51,Silver,Beauty,9,604.64,149,1.0,1
CUST1262,2024-10-24,50.0,Male,66334,18,Bronze,Clothing,5,341.97,137,2.0,1
CUST1263,2025-09-02,45.0,Male,51335,88,Gold,Clothing,9,503.82,134,3.0,1
CUST1264,2024-09-19,18.0,Female,109291,72,Gold,Sports & Outdoors,8,912.93,88,5.0,0
CUST1265,2024-05-23,47.0,Male,65862,30,Bronze,Clothing,9,603.82,14,5.0,0
CUST1266,2024-12-11,34.0,Female,112622,44,Gold,Clothing,9,987.6,76,5.0,0
CUST1267,2025-09-15,18.0,Female,41531,53,Gold,Electronics,15,794.94,105,5.0,1
CUST1268,2025-07-25,50.0,Male,41817,10,Silver,Home & Kitchen,4,204.4,173,,0
CUST1269,2024-01-02,52.0,Non-Binary,66546,87,Gold,Clothing,4,303.51,89,1.0,1
CUST1270,2024-10-30,18.0,Female,48535,52,Gold,Home & Kitchen,12,642.15,86,2.0,1
CUST1271,2024-09-10,37.0,Male,105757,49,Silver,Home & Kitchen,8,851.98,60,3.0,0
CUST1272,2025-10-13,51.0,Female,61779,11,Bronze,Home & Kitchen,4,230.04,107,4.0,1
CUST1273,2025-03-28,49.0,Female,35483,66,Silver,Home & Kitchen,8,410.43,60,5.0,0
CUST1274,2024-02-06,45.0,Female,26900,58,Gold,Clothing,8,344.26,50,2.0,0
CUST1275,2024-06-08,18.0,Male,52226,90,Gold,Clothing,12,683.99,165,4.0,1
CUST1276,2024-01-09,43.0,Non-Binary,51999,36,Bronze,Beauty,10,605.27,11,5.0,0
CUST1277,2024-08-20,32.0,Male,61092,33,Bronze,Clothing,11,774.02,76,3.0,1
CUST1278,2024-04-08,46.0,Male,87458,47,Silver,Clothing,10,826.93,111,2.0,1
